"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 10 01:05:20 GMT 2023","Tue Jan 10 01:05:49 GMT 2023","29213","","Test PDP GTM","","","","Test AU bundle",""
"passed","Tue Jan 10 01:08:51 GMT 2023","Tue Jan 10 01:09:13 GMT 2023","21652","","Test PDP GTM","","","","Trigger SG simple",""
"passed","Tue Jan 10 01:04:44 GMT 2023","Tue Jan 10 01:04:45 GMT 2023","1218","","Test DLPL1 - pageView","","","","Test US_HPG",""
"passed","Tue Jan 10 01:02:58 GMT 2023","Tue Jan 10 01:03:06 GMT 2023","8780","","Test DLE3 - productClick","","","","Test US productClick",""
"failed","Tue Jan 10 00:59:07 GMT 2023","Tue Jan 10 00:59:40 GMT 2023","33121","Test checkoutFlow","US","","","","US Test Address page",""
"passed","Tue Jan 10 01:04:06 GMT 2023","Tue Jan 10 01:04:07 GMT 2023","1316","","Test DLPL1 - pageView","","","","Test AU_HPG",""
"passed","Tue Jan 10 01:06:54 GMT 2023","Tue Jan 10 01:07:17 GMT 2023","23492","","Test PDP GTM","","","","Trigger AU simple",""
"passed","Tue Jan 10 00:58:29 GMT 2023","Tue Jan 10 00:59:06 GMT 2023","37149","Test checkoutFlow","US","","","","US Add product to cart",""
"failed","Tue Jan 10 00:54:47 GMT 2023","Tue Jan 10 00:55:11 GMT 2023","23918","Test checkoutFlow","AU","","","","AU Test Address page",""
"passed","Tue Jan 10 01:02:37 GMT 2023","Tue Jan 10 01:02:48 GMT 2023","10541","","Test DLE3 - productClick","","","","Test AU productClick",""
"passed","Tue Jan 10 01:10:11 GMT 2023","Tue Jan 10 01:10:41 GMT 2023","29385","","Test PDP GTM","","","","Test US configurable",""
"passed","Tue Jan 10 01:03:22 GMT 2023","Tue Jan 10 01:03:31 GMT 2023","9733","","Test DLE4 - softFilter","","","","AU Test soft filter",""
"passed","Tue Jan 10 01:04:33 GMT 2023","Tue Jan 10 01:04:37 GMT 2023","4551","","Test DLPL1 - pageView","","","","Test SG_BLOG",""
"passed","Tue Jan 10 01:04:19 GMT 2023","Tue Jan 10 01:04:24 GMT 2023","5241","","Test DLPL1 - pageView","","","","Test AU_TRADE",""
"failed","Tue Jan 10 00:55:57 GMT 2023","Tue Jan 10 00:56:19 GMT 2023","22245","Test checkoutFlow","AU","","","","AU Delete address & cart",""
"passed","Tue Jan 10 01:04:07 GMT 2023","Tue Jan 10 01:04:14 GMT 2023","6616","","Test DLPL1 - pageView","","","","Test AU_CATEGORY",""
"passed","Tue Jan 10 01:04:56 GMT 2023","Tue Jan 10 01:05:01 GMT 2023","5732","","Test DLPL1 - pageView","","","","Test US_TRADE",""
"passed","Tue Jan 10 01:03:32 GMT 2023","Tue Jan 10 01:03:42 GMT 2023","10371","","Test DLE4 - softFilter","","","","SG Test soft filter",""
"passed","Tue Jan 10 01:04:26 GMT 2023","Tue Jan 10 01:04:32 GMT 2023","6650","","Test DLPL1 - pageView","","","","Test SG_CATEGORY",""
"failed","Tue Jan 10 00:59:40 GMT 2023","Tue Jan 10 01:00:04 GMT 2023","24336","Test checkoutFlow","US","","","","US Test Shipping Method page",""
"passed","Tue Jan 10 01:04:51 GMT 2023","Tue Jan 10 01:04:56 GMT 2023","4861","","Test DLPL1 - pageView","","","","Test US_BLOG",""
"passed","Tue Jan 10 01:02:16 GMT 2023","Tue Jan 10 01:02:23 GMT 2023","7023","","Test DLE1 - productImpression","","","","Test US productImpression",""
"passed","Tue Jan 10 01:00:29 GMT 2023","Tue Jan 10 01:00:43 GMT 2023","13936","Test checkoutFlow","US","","","","US Delete address & cart",""
"passed","Tue Jan 10 01:03:42 GMT 2023","Tue Jan 10 01:03:53 GMT 2023","10754","","Test DLE4 - softFilter","","","","US Test soft filter",""
"passed","Tue Jan 10 00:56:19 GMT 2023","Tue Jan 10 00:56:52 GMT 2023","32727","Test checkoutFlow","SG","","","","SG Add product to cart",""
"failed","Tue Jan 10 00:57:26 GMT 2023","Tue Jan 10 00:57:50 GMT 2023","24428","Test checkoutFlow","SG","","","","SG Test Shipping Method page",""
"passed","Tue Jan 10 01:02:08 GMT 2023","Tue Jan 10 01:02:16 GMT 2023","8237","","Test DLE1 - productImpression","","","","Test SG productImpression",""
"failed","Tue Jan 10 00:55:11 GMT 2023","Tue Jan 10 00:55:34 GMT 2023","22528","Test checkoutFlow","AU","","","","AU Test Shipping Method page",""
"passed","Tue Jan 10 01:04:24 GMT 2023","Tue Jan 10 01:04:26 GMT 2023","1509","","Test DLPL1 - pageView","","","","Test SG_HPG",""
"failed","Tue Jan 10 00:56:52 GMT 2023","Tue Jan 10 00:57:26 GMT 2023","33558","Test checkoutFlow","SG","","","","SG Test Address page",""
"failed","Tue Jan 10 00:54:04 GMT 2023","Tue Jan 10 00:54:47 GMT 2023","42595","Test checkoutFlow","AU","","","","AU Add product to cart",""
"failed","Tue Jan 10 01:00:04 GMT 2023","Tue Jan 10 01:00:29 GMT 2023","24635","Test checkoutFlow","US","","","","US Test Payment page",""
"failed","Tue Jan 10 00:57:50 GMT 2023","Tue Jan 10 00:58:15 GMT 2023","24827","Test checkoutFlow","SG","","","","SG Test Payment page",""
"passed","Tue Jan 10 01:02:00 GMT 2023","Tue Jan 10 01:02:08 GMT 2023","8004","","Test DLE1 - productImpression","","","","Test AU productImpression",""
"passed","Tue Jan 10 01:10:55 GMT 2023","Tue Jan 10 01:11:19 GMT 2023","23884","","Test PDP GTM","","","","Trigger US simple",""
"passed","Tue Jan 10 01:08:10 GMT 2023","Tue Jan 10 01:08:37 GMT 2023","26591","","Test PDP GTM","","","","Test SG configurable",""
"failed","Tue Jan 10 00:55:34 GMT 2023","Tue Jan 10 00:55:57 GMT 2023","23480","Test checkoutFlow","AU","","","","AU Test Payment page",""
"passed","Tue Jan 10 01:04:37 GMT 2023","Tue Jan 10 01:04:44 GMT 2023","6486","","Test DLPL1 - pageView","","","","Test SG_TRADE",""
"passed","Tue Jan 10 01:09:26 GMT 2023","Tue Jan 10 01:09:57 GMT 2023","31017","","Test PDP GTM","","","","test US bundle",""
"passed","Tue Jan 10 01:02:48 GMT 2023","Tue Jan 10 01:02:57 GMT 2023","9471","","Test DLE3 - productClick","","","","Test SG productClick",""
"passed","Tue Jan 10 01:06:07 GMT 2023","Tue Jan 10 01:06:38 GMT 2023","31797","","Test PDP GTM","","","","Trigger AU configurable",""
"passed","Tue Jan 10 01:04:45 GMT 2023","Tue Jan 10 01:04:51 GMT 2023","5860","","Test DLPL1 - pageView","","","","Test US_CATEGORY",""
"passed","Tue Jan 10 00:58:15 GMT 2023","Tue Jan 10 00:58:29 GMT 2023","13404","Test checkoutFlow","SG","","","","SG Delete address & cart",""
"passed","Tue Jan 10 01:04:14 GMT 2023","Tue Jan 10 01:04:19 GMT 2023","5158","","Test DLPL1 - pageView","","","","Test AU_BLOG",""
"passed","Tue Jan 10 01:07:31 GMT 2023","Tue Jan 10 01:07:56 GMT 2023","25218","","Test PDP GTM","","","","Test SG bundle",""
