"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 09 00:56:40 GMT 2023","Mon Jan 09 00:57:00 GMT 2023","19691","Test checkoutFlow","SG","","","","SG Delete address & cart",""
"passed","Mon Jan 09 01:05:00 GMT 2023","Mon Jan 09 01:05:13 GMT 2023","12998","","Test DLE4 - softFilter","","","","US Test soft filter",""
"passed","Mon Jan 09 01:02:37 GMT 2023","Mon Jan 09 01:02:52 GMT 2023","15479","","Test DLE1 - productImpression","","","","Test SG productImpression",""
"failed","Mon Jan 09 00:59:14 GMT 2023","Mon Jan 09 00:59:42 GMT 2023","28376","Test checkoutFlow","US","","","","US Test Payment page",""
"failed","Mon Jan 09 00:51:10 GMT 2023","Mon Jan 09 00:52:16 GMT 2023","65615","Test checkoutFlow","AU","","","","AU Add product to cart",""
"passed","Mon Jan 09 01:06:06 GMT 2023","Mon Jan 09 01:06:15 GMT 2023","9157","","Test DLPL1 - pageView","","","","Test SG_CATEGORY",""
"passed","Mon Jan 09 01:03:26 GMT 2023","Mon Jan 09 01:03:40 GMT 2023","13917","","Test DLE3 - productClick","","","","Test AU productClick",""
"failed","Mon Jan 09 00:52:16 GMT 2023","Mon Jan 09 00:52:47 GMT 2023","30647","Test checkoutFlow","AU","","","","AU Test Address page",""
"passed","Mon Jan 09 01:04:31 GMT 2023","Mon Jan 09 01:04:45 GMT 2023","14484","","Test DLE4 - softFilter","","","","AU Test soft filter",""
"passed","Mon Jan 09 01:03:40 GMT 2023","Mon Jan 09 01:03:54 GMT 2023","13653","","Test DLE3 - productClick","","","","Test SG productClick",""
"passed","Mon Jan 09 00:54:07 GMT 2023","Mon Jan 09 00:55:02 GMT 2023","54586","Test checkoutFlow","SG","","","","SG Add product to cart",""
"passed","Mon Jan 09 00:57:00 GMT 2023","Mon Jan 09 00:58:04 GMT 2023","63923","Test checkoutFlow","US","","","","US Add product to cart",""
"passed","Mon Jan 09 01:06:44 GMT 2023","Mon Jan 09 01:06:50 GMT 2023","6133","","Test DLPL1 - pageView","","","","Test US_TRADE",""
"failed","Mon Jan 09 00:53:41 GMT 2023","Mon Jan 09 00:54:07 GMT 2023","26571","Test checkoutFlow","AU","","","","AU Delete address & cart",""
"passed","Mon Jan 09 01:05:47 GMT 2023","Mon Jan 09 01:05:54 GMT 2023","6951","","Test DLPL1 - pageView","","","","Test AU_BLOG",""
"passed","Mon Jan 09 01:05:34 GMT 2023","Mon Jan 09 01:05:37 GMT 2023","2976","","Test DLPL1 - pageView","","","","Test AU_HPG",""
"failed","Mon Jan 09 00:56:11 GMT 2023","Mon Jan 09 00:56:40 GMT 2023","28554","Test checkoutFlow","SG","","","","SG Test Payment page",""
"passed","Mon Jan 09 01:05:54 GMT 2023","Mon Jan 09 01:06:03 GMT 2023","8660","","Test DLPL1 - pageView","","","","Test AU_TRADE",""
