"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 27 01:04:34 GMT 2023","Mon Feb 27 01:04:41 GMT 2023","6239","","Test DLPL1 - pageView","","","","Test AU_BLOG",""
"failed","Mon Feb 27 00:57:50 GMT 2023","Mon Feb 27 00:58:15 GMT 2023","25093","Test checkoutFlow","SG","","","","SG Test Shipping Method page",""
"passed","Mon Feb 27 01:04:47 GMT 2023","Mon Feb 27 01:04:49 GMT 2023","1737","","Test DLPL1 - pageView","","","","Test SG_HPG",""
"passed","Mon Feb 27 01:04:05 GMT 2023","Mon Feb 27 01:04:13 GMT 2023","8672","","Test DLE4 - softFilter","","","","US Test soft filter",""
"passed","Mon Feb 27 01:02:38 GMT 2023","Mon Feb 27 01:02:45 GMT 2023","6571","","Test DLE1 - productImpression","","","","Test US productImpression",""
"passed","Mon Feb 27 00:58:55 GMT 2023","Mon Feb 27 00:59:29 GMT 2023","34259","Test checkoutFlow","US","","","","US Add product to cart",""
"failed","Mon Feb 27 01:06:30 GMT 2023","Mon Feb 27 01:07:09 GMT 2023","38680","","Test PDP GTM","","","","Trigger AU configurable",""
"passed","Mon Feb 27 01:04:28 GMT 2023","Mon Feb 27 01:04:34 GMT 2023","6867","","Test DLPL1 - pageView","","","","Test AU_CATEGORY",""
"failed","Mon Feb 27 01:05:43 GMT 2023","Mon Feb 27 01:06:15 GMT 2023","32398","","Test PDP GTM","","","","Test AU bundle",""
"passed","Mon Feb 27 01:08:10 GMT 2023","Mon Feb 27 01:08:37 GMT 2023","26924","","Test PDP GTM","","","","Test SG bundle",""
"passed","Mon Feb 27 01:05:18 GMT 2023","Mon Feb 27 01:05:23 GMT 2023","4546","","Test DLPL1 - pageView","","","","Test US_TRADE",""
"passed","Mon Feb 27 01:05:07 GMT 2023","Mon Feb 27 01:05:08 GMT 2023","896","","Test DLPL1 - pageView","","","","Test US_HPG",""
