"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 10 01:01:13 GMT 2023","Fri Feb 10 01:01:46 GMT 2023","32856","Test checkoutFlow","US","","","","US Test Address page",""
"passed","Fri Feb 10 01:04:23 GMT 2023","Fri Feb 10 01:04:34 GMT 2023","10424","","Test DLE1 - productImpression","","","","Test AU productImpression",""
"passed","Fri Feb 10 01:13:06 GMT 2023","Fri Feb 10 01:13:39 GMT 2023","32566","","Test PDP GTM","","","","Test US configurable",""
"failed","Fri Feb 10 01:01:46 GMT 2023","Fri Feb 10 01:02:14 GMT 2023","28072","Test checkoutFlow","US","","","","US Test Shipping Method page",""
"passed","Fri Feb 10 01:07:35 GMT 2023","Fri Feb 10 01:07:42 GMT 2023","7610","","Test DLPL1 - pageView","","","","Test SG_TRADE",""
"failed","Fri Feb 10 01:09:40 GMT 2023","Fri Feb 10 01:09:58 GMT 2023","17892","","Test PDP GTM","","","","Trigger AU simple",""
"passed","Fri Feb 10 01:07:20 GMT 2023","Fri Feb 10 01:07:28 GMT 2023","8406","","Test DLPL1 - pageView","","","","Test SG_CATEGORY",""
"passed","Fri Feb 10 01:00:14 GMT 2023","Fri Feb 10 01:00:30 GMT 2023","16164","Test checkoutFlow","SG","","","","SG Delete address & cart",""
"passed","Fri Feb 10 01:05:32 GMT 2023","Fri Feb 10 01:05:43 GMT 2023","11085","","Test DLE3 - productClick","","","","Test US productClick",""
"passed","Fri Feb 10 00:58:12 GMT 2023","Fri Feb 10 00:58:47 GMT 2023","35733","Test checkoutFlow","SG","","","","SG Add product to cart",""
"failed","Fri Feb 10 00:57:47 GMT 2023","Fri Feb 10 00:58:12 GMT 2023","24308","Test checkoutFlow","AU","","","","AU Delete address & cart",""
"passed","Fri Feb 10 01:12:20 GMT 2023","Fri Feb 10 01:12:52 GMT 2023","31905","","Test PDP GTM","","","","test US bundle",""
"failed","Fri Feb 10 00:55:51 GMT 2023","Fri Feb 10 00:56:32 GMT 2023","41501","Test checkoutFlow","AU","","","","AU Add product to cart",""
"failed","Fri Feb 10 00:59:22 GMT 2023","Fri Feb 10 00:59:48 GMT 2023","25906","Test checkoutFlow","SG","","","","SG Test Shipping Method page",""
"passed","Fri Feb 10 01:07:18 GMT 2023","Fri Feb 10 01:07:20 GMT 2023","1936","","Test DLPL1 - pageView","","","","Test SG_HPG",""
"passed","Fri Feb 10 01:07:50 GMT 2023","Fri Feb 10 01:07:55 GMT 2023","4741","","Test DLPL1 - pageView","","","","Test US_BLOG",""
"passed","Fri Feb 10 01:06:28 GMT 2023","Fri Feb 10 01:06:39 GMT 2023","11419","","Test DLE4 - softFilter","","","","US Test soft filter",""
"passed","Fri Feb 10 01:06:14 GMT 2023","Fri Feb 10 01:06:28 GMT 2023","13310","","Test DLE4 - softFilter","","","","SG Test soft filter",""
"passed","Fri Feb 10 01:07:55 GMT 2023","Fri Feb 10 01:08:01 GMT 2023","5341","","Test DLPL1 - pageView","","","","Test US_TRADE",""
"failed","Fri Feb 10 01:08:22 GMT 2023","Fri Feb 10 01:08:43 GMT 2023","20530","","Test PDP GTM","","","","Test AU bundle",""
"passed","Fri Feb 10 01:05:19 GMT 2023","Fri Feb 10 01:05:32 GMT 2023","12899","","Test DLE3 - productClick","","","","Test SG productClick",""
"passed","Fri Feb 10 01:05:08 GMT 2023","Fri Feb 10 01:05:19 GMT 2023","10878","","Test DLE3 - productClick","","","","Test AU productClick",""
"passed","Fri Feb 10 01:04:44 GMT 2023","Fri Feb 10 01:04:53 GMT 2023","8423","","Test DLE1 - productImpression","","","","Test US productImpression",""
"failed","Fri Feb 10 00:56:58 GMT 2023","Fri Feb 10 00:57:23 GMT 2023","24291","Test checkoutFlow","AU","","","","AU Test Shipping Method page",""
"passed","Fri Feb 10 01:10:56 GMT 2023","Fri Feb 10 01:11:27 GMT 2023","30981","","Test PDP GTM","","","","Test SG configurable",""
"passed","Fri Feb 10 01:06:02 GMT 2023","Fri Feb 10 01:06:14 GMT 2023","12472","","Test DLE4 - softFilter","","","","AU Test soft filter",""
"passed","Fri Feb 10 01:06:54 GMT 2023","Fri Feb 10 01:06:55 GMT 2023","1269","","Test DLPL1 - pageView","","","","Test AU_HPG",""
"passed","Fri Feb 10 01:00:31 GMT 2023","Fri Feb 10 01:01:12 GMT 2023","41591","Test checkoutFlow","US","","","","US Add product to cart",""
"failed","Fri Feb 10 00:57:23 GMT 2023","Fri Feb 10 00:57:47 GMT 2023","24754","Test checkoutFlow","AU","","","","AU Test Payment page",""
"passed","Fri Feb 10 01:11:44 GMT 2023","Fri Feb 10 01:12:07 GMT 2023","23013","","Test PDP GTM","","","","Trigger SG simple",""
"failed","Fri Feb 10 00:59:48 GMT 2023","Fri Feb 10 01:00:14 GMT 2023","26197","Test checkoutFlow","SG","","","","SG Test Payment page",""
"failed","Fri Feb 10 00:56:32 GMT 2023","Fri Feb 10 00:56:58 GMT 2023","25892","Test checkoutFlow","AU","","","","AU Test Address page",""
"passed","Fri Feb 10 01:07:04 GMT 2023","Fri Feb 10 01:07:10 GMT 2023","6302","","Test DLPL1 - pageView","","","","Test AU_BLOG",""
"passed","Fri Feb 10 01:07:10 GMT 2023","Fri Feb 10 01:07:18 GMT 2023","7235","","Test DLPL1 - pageView","","","","Test AU_TRADE",""
"passed","Fri Feb 10 01:07:28 GMT 2023","Fri Feb 10 01:07:35 GMT 2023","6411","","Test DLPL1 - pageView","","","","Test SG_BLOG",""
"passed","Fri Feb 10 01:06:55 GMT 2023","Fri Feb 10 01:07:04 GMT 2023","8823","","Test DLPL1 - pageView","","","","Test AU_CATEGORY",""
"passed","Fri Feb 10 01:07:43 GMT 2023","Fri Feb 10 01:07:50 GMT 2023","6942","","Test DLPL1 - pageView","","","","Test US_CATEGORY",""
"passed","Fri Feb 10 01:10:12 GMT 2023","Fri Feb 10 01:10:40 GMT 2023","28591","","Test PDP GTM","","","","Test SG bundle",""
"failed","Fri Feb 10 01:02:14 GMT 2023","Fri Feb 10 01:02:38 GMT 2023","24817","Test checkoutFlow","US","","","","US Test Payment page",""
"passed","Fri Feb 10 01:07:42 GMT 2023","Fri Feb 10 01:07:43 GMT 2023","1167","","Test DLPL1 - pageView","","","","Test US_HPG",""
"passed","Fri Feb 10 01:13:53 GMT 2023","Fri Feb 10 01:14:17 GMT 2023","24204","","Test PDP GTM","","","","Trigger US simple",""
"passed","Fri Feb 10 01:04:34 GMT 2023","Fri Feb 10 01:04:44 GMT 2023","10448","","Test DLE1 - productImpression","","","","Test SG productImpression",""
"failed","Fri Feb 10 01:08:56 GMT 2023","Fri Feb 10 01:09:21 GMT 2023","24983","","Test PDP GTM","","","","Trigger AU configurable",""
"passed","Fri Feb 10 01:02:38 GMT 2023","Fri Feb 10 01:02:56 GMT 2023","17684","Test checkoutFlow","US","","","","US Delete address & cart",""
"failed","Fri Feb 10 00:58:48 GMT 2023","Fri Feb 10 00:59:22 GMT 2023","33919","Test checkoutFlow","SG","","","","SG Test Address page",""
