"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 21 01:04:55 GMT 2023","Tue Feb 21 01:05:04 GMT 2023","8289","","Test DLE1 - productImpression","","","","Test US productImpression",""
"passed","Tue Feb 21 01:00:46 GMT 2023","Tue Feb 21 01:01:28 GMT 2023","42594","Test checkoutFlow","US","","","","US Add product to cart",""
"passed","Tue Feb 21 01:02:51 GMT 2023","Tue Feb 21 01:03:08 GMT 2023","16639","Test checkoutFlow","US","","","","US Delete address & cart",""
"failed","Tue Feb 21 00:59:05 GMT 2023","Tue Feb 21 00:59:38 GMT 2023","33422","Test checkoutFlow","SG","","","","SG Test Address page",""
"failed","Tue Feb 21 01:01:29 GMT 2023","Tue Feb 21 01:02:01 GMT 2023","32713","Test checkoutFlow","US","","","","US Test Address page",""
"passed","Tue Feb 21 01:05:31 GMT 2023","Tue Feb 21 01:05:42 GMT 2023","10770","","Test DLE3 - productClick","","","","Test SG productClick",""
"passed","Tue Feb 21 01:07:01 GMT 2023","Tue Feb 21 01:07:02 GMT 2023","1271","","Test DLPL1 - pageView","","","","Test AU_HPG",""
"failed","Tue Feb 21 00:59:38 GMT 2023","Tue Feb 21 01:00:04 GMT 2023","25875","Test checkoutFlow","SG","","","","SG Test Shipping Method page",""
"passed","Tue Feb 21 01:06:09 GMT 2023","Tue Feb 21 01:06:22 GMT 2023","12707","","Test DLE4 - softFilter","","","","AU Test soft filter",""
"passed","Tue Feb 21 01:07:50 GMT 2023","Tue Feb 21 01:07:57 GMT 2023","7230","","Test DLPL1 - pageView","","","","Test US_CATEGORY",""
"passed","Tue Feb 21 00:58:28 GMT 2023","Tue Feb 21 00:59:05 GMT 2023","36364","Test checkoutFlow","SG","","","","SG Add product to cart",""
"passed","Tue Feb 21 01:13:14 GMT 2023","Tue Feb 21 01:13:47 GMT 2023","33153","","Test PDP GTM","","","","test US bundle",""
"passed","Tue Feb 21 01:07:18 GMT 2023","Tue Feb 21 01:07:25 GMT 2023","6870","","Test DLPL1 - pageView","","","","Test AU_TRADE",""
"passed","Tue Feb 21 01:07:27 GMT 2023","Tue Feb 21 01:07:36 GMT 2023","8823","","Test DLPL1 - pageView","","","","Test SG_CATEGORY",""
"passed","Tue Feb 21 01:05:18 GMT 2023","Tue Feb 21 01:05:31 GMT 2023","12445","","Test DLE3 - productClick","","","","Test AU productClick",""
"passed","Tue Feb 21 01:04:44 GMT 2023","Tue Feb 21 01:04:55 GMT 2023","10924","","Test DLE1 - productImpression","","","","Test SG productImpression",""
"passed","Tue Feb 21 01:07:25 GMT 2023","Tue Feb 21 01:07:27 GMT 2023","2082","","Test DLPL1 - pageView","","","","Test SG_HPG",""
"passed","Tue Feb 21 01:14:52 GMT 2023","Tue Feb 21 01:15:19 GMT 2023","27048","","Test PDP GTM","","","","Trigger US simple",""
"passed","Tue Feb 21 01:00:30 GMT 2023","Tue Feb 21 01:00:45 GMT 2023","14468","Test checkoutFlow","SG","","","","SG Delete address & cart",""
"failed","Tue Feb 21 00:58:05 GMT 2023","Tue Feb 21 00:58:28 GMT 2023","23096","Test checkoutFlow","AU","","","","AU Delete address & cart",""
"passed","Tue Feb 21 01:07:11 GMT 2023","Tue Feb 21 01:07:18 GMT 2023","6741","","Test DLPL1 - pageView","","","","Test AU_BLOG",""
"passed","Tue Feb 21 01:08:03 GMT 2023","Tue Feb 21 01:08:07 GMT 2023","4204","","Test DLPL1 - pageView","","","","Test US_TRADE",""
"failed","Tue Feb 21 01:09:20 GMT 2023","Tue Feb 21 01:10:01 GMT 2023","41306","","Test PDP GTM","","","","Trigger AU configurable",""
"passed","Tue Feb 21 01:04:35 GMT 2023","Tue Feb 21 01:04:44 GMT 2023","9718","","Test DLE1 - productImpression","","","","Test AU productImpression",""
"passed","Tue Feb 21 01:11:08 GMT 2023","Tue Feb 21 01:11:35 GMT 2023","26985","","Test PDP GTM","","","","Test SG bundle",""
"failed","Tue Feb 21 00:57:13 GMT 2023","Tue Feb 21 00:57:38 GMT 2023","25416","Test checkoutFlow","AU","","","","AU Test Shipping Method page",""
"passed","Tue Feb 21 01:07:42 GMT 2023","Tue Feb 21 01:07:49 GMT 2023","6978","","Test DLPL1 - pageView","","","","Test SG_TRADE",""
"passed","Tue Feb 21 01:12:37 GMT 2023","Tue Feb 21 01:13:01 GMT 2023","23566","","Test PDP GTM","","","","Trigger SG simple",""
"failed","Tue Feb 21 00:57:38 GMT 2023","Tue Feb 21 00:58:05 GMT 2023","26831","Test checkoutFlow","AU","","","","AU Test Payment page",""
"passed","Tue Feb 21 01:11:50 GMT 2023","Tue Feb 21 01:12:22 GMT 2023","31799","","Test PDP GTM","","","","Test SG configurable",""
"passed","Tue Feb 21 01:07:49 GMT 2023","Tue Feb 21 01:07:50 GMT 2023","1104","","Test DLPL1 - pageView","","","","Test US_HPG",""
"passed","Tue Feb 21 01:05:42 GMT 2023","Tue Feb 21 01:05:51 GMT 2023","8691","","Test DLE3 - productClick","","","","Test US productClick",""
"failed","Tue Feb 21 01:08:28 GMT 2023","Tue Feb 21 01:09:04 GMT 2023","35785","","Test PDP GTM","","","","Test AU bundle",""
"failed","Tue Feb 21 00:56:48 GMT 2023","Tue Feb 21 00:57:13 GMT 2023","25085","Test checkoutFlow","AU","","","","AU Test Address page",""
"failed","Tue Feb 21 01:00:04 GMT 2023","Tue Feb 21 01:00:30 GMT 2023","26167","Test checkoutFlow","SG","","","","SG Test Payment page",""
"passed","Tue Feb 21 01:07:57 GMT 2023","Tue Feb 21 01:08:03 GMT 2023","5150","","Test DLPL1 - pageView","","","","Test US_BLOG",""
